cluster,n,region,regions_all,date_BP_median,date_BP_min,date_BP_max,lat,lon,top_cultures,dominant_Y_hg,dominant_mt_hg,climate
78,11,SE Asia / Oceania,SE Asia / Oceania (11),488,246,523,6.85,158.33,FederatedStatesofMicronesia_SaudeleurDynasty (8); FederatedStatesofMicronesia_400BP (3),S (5); n/ (4); C1 (1),B4 (9),Late Holocene (post-4.2ka) (11)
34,11,Europe,Europe (10); Near East / SW Asia (1),7541,7463,7768,41.47,44.68,Georgia_Arukhlo2_N_Caucasus (6); Armenia_MasisBlur_N (3); Azerbaijan_MenteshTepe_LN_Caucasus (1),n/ (5); J2 (4); P1 (1),K1 (4); n/ (2); K (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (11)
171,11,Central Asia / Steppe,Central Asia / Steppe (11),3900,3645,3900,40.34,88.67,China_Xinjiang_Xiaohe_BA (11),n/ (9); R1 (2),C4 (10); R1 (1),Late Holocene (post-4.2ka) (11)
219,11,Europe,Europe (11),200,100,300,40.18,-8.68,Portugal_KingdomOfPortugal (8); Portugal_NapoleonicWar (2); Portugal_PostMedieval (1),E1 (2); J1 (1); R1 (1),—,Late Holocene (post-4.2ka) (11)
102,11,Europe,Europe (11),1513,1465,1552,43.32,43.68,Russia_Zaragizh_MigrationPeriod_Alan (6); Armenia_Beniamin_EarlyMedieval (4); Russia_Ekazhevo_IA_Alan (1),n/ (3); R1 (3); J2 (2),—,Late Holocene (post-4.2ka) (11)
128,11,Near East / SW Asia,Near East / SW Asia (11),5100,5100,5209,28.33,56.87,Iran_ShahTepe_BA (7); Iran_ShahTepe_LateC_EBA (4),n/ (6); J1 (2); T1 (2),HV (3); H1 (1); I1 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (11)
157,11,Europe,Europe (11),45875,45875,45875,50.66,11.57,Germany_Ranis_IUP (9); Czechia_Zlatykun_IUP (2),n/ (9),N (1),MIS 3 interstadial-variable (OoA window) (11)
144,11,Europe,Europe (11),950,950,950,54.78,31.87,Russia_EarlyMedieval_Viking_OldRus (6); Russia_EarlyMedieval_Viking_OldRus-o (3); Russia_Viking (1),n/ (7); R1 (2); I1 (1),HV (2); U5 (2); H1 (1),Late Holocene (post-4.2ka) (11)
166,10,East Asia,East Asia (10),2811,2735,2901,33.5,95.4,China_Qinghai_Pukagongma (6); China_Tibet_Redilong_IA (2); China_Tibet_Xiaoenda_IA (1),n/ (4); D1 (3); O2 (2),n/ (8); D4 (1),Late Holocene (post-4.2ka) (10)
84,10,Americas,Americas (10),606,562,625,30.39,-111.53,Mexico_600BP_TradicionTrincheras (7); Mexico_550BP_TradicionTrincheras (1); Mexico_PreColumbian_Medio (1),Q1 (6); n/ (3); P1 (1),C1 (4); H (1); A2 (1),Late Holocene (post-4.2ka) (10)
89,10,Americas,Americas (10),350,350,431,20.24,-90.46,Mexico_Colonial_Maya (8); Mexico_Colonial_European (1); Mexico_Colonial_African (1),n/ (6); Q1 (3); I2 (1),A2 (5); B2 (2); X2 (1),Late Holocene (post-4.2ka) (10)
129,10,Central Asia / Steppe,Central Asia / Steppe (10),4628,4498,4700,48.29,86.27,China_Xinjiang_Ayituohan_BA_Afanasievo (4); China_Xinjiang_Songshugou_BA (2); China_Xinjiang_Habahe_BA (1),n/ (5); Q2 (3); R1 (1),U5 (3); T2 (2); U4 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (10)
137,10,Europe,Europe (10),1400,1366,1400,62.95,22.41,Finland_Levanluhta (4); Finland_Levanluhta-2 (3); Finland_IA_Saami (1),n/ (8),K1 (3); U5 (2); H1 (1),Late Holocene (post-4.2ka) (10)
110,10,Europe,Europe (10),2126,2071,2244,39.65,33.79,Turkey_Ancient-1 (3); Turkey_Ancient (3); Turkey_IA (3),n/ (7); J2 (2); G (1),J2 (1); U4 (1); X2 (1),Late Holocene (post-4.2ka) (10)
204,10,Europe,Europe (10),321,321,321,44.89,6.62,France_FrenchAlps (10),n/ (6); R1 (2); CT (1),n/ (8); H2 (1); T1 (1),Late Holocene (post-4.2ka) (10)
172,10,East Asia,East Asia (10),1226,1130,1308,36.22,98.17,China_Qinghai_DulanWayanReservoirSite_Classical (9); China_Qinghai_DulanWayanReservoirSite_Classical-oWestEurasia (1),n/ (6); O2 (2); N1 (1),D4 (4); C4 (2); M1 (1),Late Holocene (post-4.2ka) (10)
191,10,Americas,Americas (10),711,496,750,-22.92,-66.06,Argentina_Jujuy_700BP (8); Argentina_Salta_600BP (2),n/ (6); Q1 (2),A2 (2); B2 (2); D1 (2),Late Holocene (post-4.2ka) (10)
138,10,South Asia,South Asia (10),2650,2579,2775,28.9,83.83,Nepal_IA (7); China_Tibet_Sila (2); Nepal_2800BP (1),n/ (5); O2 (4); C2 (1),F1 (3); A1 (1); M1 (1),Late Holocene (post-4.2ka) (10)
140,10,South Asia,South Asia (10),1275,1275,1275,29.28,84.03,Nepal_Mustang_SamdzongTomb_MiddleKingdom (9); Nepal_1500BP (1),O2 (5); n/ (4); O (1),M9 (3); F1 (2); D4 (1),Late Holocene (post-4.2ka) (10)
136,10,Europe,Europe (10),3725,3725,3740,69.22,33.48,Russia_BolshoyOleniyOstrov_MBA (9); Russia_Murmansk_MBA (1),n/ (9); N1 (1),U4 (1); Z1 (1); T2 (1),Late Holocene (post-4.2ka) (10)
17,9,Europe,Europe (9),2843,2810,2844,57.72,-3.38,Scotland_LBA (9),n/ (5); R1 (4),I2 (3); K1 (2); H5 (2),Late Holocene (post-4.2ka) (9)
174,9,Europe,Europe (9),6750,6696,6750,52.02,5.12,Netherlands_EN_LateMesolithic_Swifterbant (6); Netherlands_EN_LateMesolithic_Swifterbant-o (3),n/ (6); I2 (3),U5 (4); K1 (3); H+ (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
223,9,East Asia,East Asia (9),5884,5818,6040,32.69,112.13,China_Baligang_N_Yangshao (8); China_Henan_Wanggousite_MN (1),O2 (7); n/ (1),F1 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
206,9,Europe,Europe (9),3525,3490,3525,44.28,40.33,Russia_Adygea_MLBA (8); Russia_MLBA_Caucasus (1),J2 (3); n/ (2); G2 (2),U5 (2); U3 (1); I4 (1),Late Holocene (post-4.2ka) (9)
185,9,Europe,Europe (9),5671,5575,5807,40.63,8.32,Italy_Sardinia_N (9),G (2); n/ (2); H2 (2),R (2); n/ (1); V (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (9)
