cluster,n,region,regions_all,date_BP_median,date_BP_min,date_BP_max,lat,lon,top_cultures,dominant_Y_hg,dominant_mt_hg,climate
114,125,Central Asia / Steppe,Central Asia / Steppe (125),2248,1976,2654,43.6,82.51,Kyrgyzstan_TianShan_Saka (9); Kyrgyzstan_IA_Saka (7); China_Xinjiang_Kuokesuxi_EIA (6),R1 (44); n/ (44); Q1 (8),C4 (18); D4 (13); U5 (11),Late Holocene (post-4.2ka) (125)
196,124,SE Asia / Oceania,SE Asia / Oceania (124),520,318,708,13.52,144.81,Guam_Latte (74); USA_NorthernMariana_Latte_Chamoru (44); Guam_LateLattePeriod (4),O2 (57); n/ (54); S (3),E2 (101); E1 (22); B4 (1),Late Holocene (post-4.2ka) (124)
20,120,Europe,Europe (105); North Africa (15),2300,1947,2599,42.13,3.09,Spain_LateArchaic_Classical_Hellenistic (23); Spain_IA (16); Spain_LatePunic (11),n/ (51); R1 (40); E1 (6),H1 (29); HV (13); H3 (12),Late Holocene (post-4.2ka) (120)
169,119,Europe,Europe (119),8500,8099,8838,37.67,32.83,Turkey_Catalhoyuk_MN (46); Turkey_Catalhoyuk_LN (32); Turkey_Catalhoyuk_EN (17),C1 (13); J2 (10); n/ (9),K1 (8); N1 (3); T2 (2),Early Holocene (rapid warming) (118); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (1)
51,118,Central Asia / Steppe,Central Asia / Steppe (118),3765,3411,3943,52.82,60.13,Russia_Chelyabinsk_MLBA_Sintashta (43); Russia_Chelyabinsk_BA (31); Russia_Bashkortostan_LBA (13),n/ (54); R1 (43); Q1 (18),U5 (20); U2 (15); H1 (10),Late Holocene (post-4.2ka) (118)
43,100,South Asia,South Asia (100),2850,2725,3128,34.75,72.35,Pakistan_IA (97); Pakistan_IA-o (2); Pakistan_ProtohistoricGraves (1),n/ (46); L1 (12); R2 (9),U2 (12); M3 (7); HV (7),Late Holocene (post-4.2ka) (100)
13,97,Europe,Europe (97),3224,2789,3563,52.12,-0.34,England_MBA (31); England_LBA (23); Netherlands_MBA (12),n/ (56); R1 (35); BT (2),U5 (18); H1 (15); H3 (8),Late Holocene (post-4.2ka) (97)
50,94,Central Asia / Steppe,Central Asia / Steppe (94),4850,4518,5165,53.04,50.98,Russia_Samara_EBA_Yamnaya (46); Russia_Orenburg_EBA_Yamnaya (16); Kazakhstan_KumsayKyrykOba_EBA_Yamnaya (11),R1 (63); n/ (27); Q1 (3),U5 (16); U4 (14); H1 (9),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (94)
205,89,Americas,Americas (89),1075,858,1327,20.68,-88.57,Mexico_LateClassic (89),Q1 (61); F (6); Q (6),A2 (51); C1 (8); B2 (7),Late Holocene (post-4.2ka) (89)
198,84,Europe,Europe (84),550,146,625,56.47,10.1,Denmark_Medieval (50); Denmark_EarlyModern (17); Sweden_PostMedieval (12),n/ (32); R1 (23); I1 (17),H1 (14); U5 (9); T2 (9),Late Holocene (post-4.2ka) (84)
54,77,Africa,Africa (77),428,73,800,-3.95,39.76,Kenya_Medieval_Swahili (48); Kenya_Swahili (22); Kenya_400BP (2),n/ (36); E1 (12); J1 (11),L3 (29); L0 (17); L2 (12),Late Holocene (post-4.2ka) (77)
48,69,Europe,Europe (69),2400,2176,2650,49.41,33.49,Ukraine_LIA_Scythian (21); Moldova_Scythian (7); Ukraine_MIA_Scythian (7),n/ (22); R1 (10); R1a1 (8),U5 (10); T2 (7); H6 (5),Late Holocene (post-4.2ka) (69)
25,66,Other,Other (61); Siberia / North Asia (5),4637,3959,4937,54.36,90.8,Russia_Khakassia_Afanasievo (27); Russia_BA_Okunevo (19); Russia_KrasnoyarskKrai_EMBA_Samuskaya (3),n/ (27); Q1 (23); R1 (11),U5 (18); H6 (8); A8 (7),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (54); Late Holocene (post-4.2ka) (12)
47,66,North Africa,North Africa (66),1100,990,1239,21.07,30.66,Sudan_KulubnartiS_Christian (22); Sudan_Kulubnarti21S46_KulubnartiS_Christian (14); Sudan_Kulubnarti21R2_KulubnartiR_Christian (12),n/ (36); E1 (16); J2 (3),L2 (16); H2 (14); U5 (10),Late Holocene (post-4.2ka) (66)
9,65,Europe,Europe (65),5628,5523,5832,48.79,25.87,Ukraine_Ternopil_Eneolithic_Trypillia (19); Ukraine_Eneolithic_Trypillia (17); Ukraine_Eneolithic_C_Usatove (6),n/ (22); G2 (17); I2 (10),J1 (11); T2 (11); U5 (9),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (65)
117,62,East Asia,East Asia (62),2000,1800,2176,48.59,102.36,Russia_Buryatia_XiongnuPeriod (7); Mongolia_Khovsgol_XiongnuPeriod-2 (6); Mongolia_Khovsgol_XiongnuPeriod-1 (5),n/ (28); R1 (13); Q1 (7),D4 (9); C4 (7); G2 (5),Late Holocene (post-4.2ka) (62)
74,61,Central Asia / Steppe,Central Asia / Steppe (57); Other (4),950,597,1250,54.95,52.73,Russia_Bashkortostan_Medieval_LateChiyalik (9); Russia_Udmurtia_Medieval_LateChiyalik (9); Russia_Samara_Khazar (8),n/ (26); R1 (18); N1 (6),D4 (6); T1 (5); U4 (5),Late Holocene (post-4.2ka) (61)
123,60,East Asia,East Asia (60),700,540,850,47.86,106.16,Mongolia_Sukhbaatar_LateMedieval (10); Mongolia_Dornod_LateMedieval (8); Mongolia_Khentii_LateMedieval (7),n/ (24); C2 (15); N1 (5),D4 (15); F1 (7); G2 (3),Late Holocene (post-4.2ka) (60)
0,60,North Africa,North Africa (43); Europe (17),4050,3768,4581,35.18,25.44,Greece_Crete_HgCharalambos_EMBA (34); Greece_NeaStyra_EBA (6); Greece_PerachoraCave_EBA (5),n/ (25); J2 (16); J1 (9),H (8); T2 (5); HV (5),Late Holocene (post-4.2ka) (41); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (19)
15,56,Americas,Americas (56),764,300,1209,34.02,-119.83,USA_California_600BP (11); USA_California_800BP (8); USA_900BP (7),n/ (32); Q1 (22); P1 (1),A2 (21); C1 (12); R (5),Late Holocene (post-4.2ka) (56)
65,55,East Asia,East Asia (55),4411,3931,4931,53.04,104.25,Russia_Irkutsk_EBA (29); Russia_Irkutsk_N_Angara (9); Russia_Irkutsk_N (3),Q1 (23); n/ (21); C2 (7),C4 (26); D4 (9); F1 (9),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (37); Late Holocene (post-4.2ka) (18)
56,52,Europe,Europe (52),8252,7870,8316,40.3,29.61,Turkey_N (52),n/ (19); G2 (18); J2 (3),K1 (18); N1 (9); T2 (5),Early Holocene (rapid warming) (31); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (21)
24,49,East Asia,East Asia (34); Central Asia / Steppe (11); Other (4),2225,2100,2371,50.0,92.03,Mongolia_EIA_Sagly-4 (16); Russia_Aymyrlyg_IA_Saka (6); Russia_Aymyrlyg_IA_Hun (6),n/ (13); R1 (12); Q1 (11),D4 (6); C4 (4); F1 (3),Late Holocene (post-4.2ka) (49)
221,49,East Asia,East Asia (49),1700,1698,2151,24.7,103.0,China_Roman_LateAntiquity (30); China_Roman (13); China_MBA (4),O1 (14); O2 (3); N1 (3),—,Late Holocene (post-4.2ka) (49)
101,49,Europe,Europe (48); North Africa (1),1200,1000,1250,42.68,-2.63,Spain_LateAntiquity_Christian (30); Portugal_LateRoman (3); Portugal_EarlyMedieval (3),R1 (20); n/ (13); CT (2),H1 (1); V+ (1),Late Holocene (post-4.2ka) (49)
6,48,Near East / SW Asia,Near East / SW Asia (48),4005,3750,4254,38.21,62.03,Turkmenistan_BA1-1 (34); Turkmenistan_BA-1 (4); Turkmenistan_BA2-2 (3),n/ (29); F (3); J (2),HV (10); U7 (5); T2 (4),Late Holocene (post-4.2ka) (45); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (3)
30,47,Europe,Europe (47),4145,3600,4415,40.79,8.6,Italy_Sardinia_EBA (20); Italy_Sardinia_LateC (5); Italy_Lazio_BA (4),n/ (18); I2 (12); G2 (7),H1 (7); J2 (7); J1 (6),Late Holocene (post-4.2ka) (34); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (13)
14,47,Americas,Americas (47),614,388,1060,-13.48,-75.66,Peru_ChinchaValley_LateHorizon (11); Peru_900BP (5); Peru_LIP_600BP_LaGalgada (4),Q1 (21); n/ (20); F (2),B2 (9); C1 (8); R (6),Late Holocene (post-4.2ka) (47)
37,47,Other,Other (45); Central Asia / Steppe (2),3642,3369,3925,37.67,67.0,Uzbekistan_BA (28); Uzbekistan_BA1-1 (9); Tajikistan_BA (3),n/ (23); J2 (8); R2 (4),HV (7); J1 (6); T2 (4),Late Holocene (post-4.2ka) (47)
27,46,East Asia,East Asia (46),1550,1409,1857,24.33,121.77,Taiwan_IA (45); Taiwan_Gongguan (1),n/ (23); O1 (10); O2 (6),E1 (10); F3 (7); R (6),Late Holocene (post-4.2ka) (46)
181,44,Europe,Europe (44),625,603,659,50.98,11.03,Germany_Medieval_Jewish-lowEastEU (19); Germany_Medieval_Jewish-highEastEU (17); Germany_Medieval_Jewish (8),n/ (29); R1 (4); J2 (3),K1 (17); H1 (4); U1 (3),Late Holocene (post-4.2ka) (44)
218,44,Europe,Europe (44),750,600,850,38.66,-8.02,Portugal_KingdomOfPortugal (18); Portugal_BA (13); Portugal_Islamic (6),R1 (12); E1 (4); J2 (4),H3 (2),Late Holocene (post-4.2ka) (44)
64,44,Europe,Europe (44),4500,4300,4698,57.44,39.67,Russia_Yaroslavl_EMBA (13); Russia_Ivanovo_BA (9); Russia_Yaroslav_EMBA (7),n/ (21); R1 (18),U5 (7); n/ (7); T2 (6),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (44)
111,44,Central Asia / Steppe,Central Asia / Steppe (44),1636,1354,1802,41.5,75.16,Kyrgyzstan_TianShan_Kenkol (18); Kazakhstan_Kangju (5); Kyrgyzstan_Osh_IA (5),n/ (15); R1 (10); Q1 (9),C4 (5); U5 (4); F1 (3),Late Holocene (post-4.2ka) (44)
141,43,Europe,Europe (43),1000,825,1025,65.61,-17.16,Iceland_Viking (18); Iceland_Christian (17); Iceland_PreChristian (7),n/ (14); R1 (13); I1 (4),J1 (6); H1 (6); H3 (6),Late Holocene (post-4.2ka) (43)
69,43,Europe,Europe (43),5260,5159,5538,40.02,35.87,Turkey_C (41); Turkey_C-1 (1); Turkey_EBA (1),n/ (23); G2 (9); J2 (4),K1 (11); T2 (3); N1 (3),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (43)
31,41,Central Asia / Steppe,Central Asia / Steppe (41),3631,3343,3796,48.74,77.0,Kazakhstan_MLBA (21); Kazakhstan_MLBA_Alakul (8); Kazakhstan_MLBA_Fedorovo (2),R1 (20); n/ (19),U5 (7); T1 (7); U2 (4),Late Holocene (post-4.2ka) (41)
147,41,Europe,Europe (41),2633,2222,3130,59.43,24.9,Estonia_LBA_StoneCistGraves (19); Latvia_LBA_FlatGraves (11); Estonia_EIA_TarandGraves (8),R1 (20); n/ (8); CT (2),U5 (4); H1 (3); T1 (2),Late Holocene (post-4.2ka) (41)
86,39,Europe,Europe (39),5811,5422,6283,56.78,40.45,Russia_Eneolithic_Volosovo-Dup (18); Russia_Eneolithic_Volosovo (12); Russia_Ivanovo_Eneolithic_Volosovo (3),R1 (20); n/ (8); I2 (7),U5 (28); U2 (7); U4 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (39)
195,38,Near East / SW Asia,Near East / SW Asia (38),952,782,1297,12.51,54.43,Yemen_Medieval_Soqotri (38),n/ (20); J2 (15); IJ (1),I5 (7); J1 (6); R0 (5),Late Holocene (post-4.2ka) (38)
151,37,Americas,Americas (37),750,588,1073,24.91,-76.7,Bahamas_Eleuthera_Ceramic (13); Bahamas_Andros_Ceramic (10); Bahamas_Abaco_Ceramic (4),n/ (20); Q1 (15); IJ (1),C1 (14); B2 (12); A2 (4),Late Holocene (post-4.2ka) (37)
7,36,Central Asia / Steppe,Central Asia / Steppe (25); Other (11),3543,3285,3628,55.19,89.31,Russia_KrasnoyarskKrai_MLBA (21); Russia_KrasnoyarskKrai_MLBA_Andronovo (4); Russia_Karasuk (3),R1 (19); n/ (15); Q1 (2),U5 (6); U4 (6); T1 (4),Late Holocene (post-4.2ka) (36)
146,36,East Asia,East Asia (36),1625,1535,1698,19.6,98.25,Thailand_IA_LogCoffin (32); Thailand_IA (4),n/ (18); O1 (6); N1 (5),F1 (13); G2 (4); M7 (4),Late Holocene (post-4.2ka) (36)
8,35,Central Asia / Steppe,Central Asia / Steppe (35),4902,4822,5134,50.76,85.56,Russia_Altai_Afanasievo (19); Russia_Altai_Eneolithic_Afanasievo (6); Russia_GornoAltaisk_Afanasievo (3),R1 (24); n/ (9); C2 (2),T2 (13); U4 (6); U5 (5),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (35)
113,35,Central Asia / Steppe,Central Asia / Steppe (35),2575,2475,2704,49.12,75.36,Kazakhstan_EIA_Tasmola (19); Kazakhstan_Saka (5); Kazakhstan_IA_Tasmola_Saka (3),n/ (15); R1 (15); Q1 (2),U5 (5); C4 (4); H1 (4),Late Holocene (post-4.2ka) (35)
143,35,Europe,Europe (35),900,602,1050,58.78,32.3,Russia_Viking (15); Russia_Ivanovo_Medieval (6); Russia_Ivanovo_EarlyMedieval (4),I1 (8); n/ (8); R1 (8),n/ (12); J1 (3); T2 (3),Late Holocene (post-4.2ka) (35)
217,34,SE Asia / Oceania,SE Asia / Oceania (34),415,140,520,-9.24,147.03,PapuaNewGuinea_Nebira_LateMedieval (16); PapuaNewGuinea_Nebira_EarlyModern (7); PapuaNewGuinea_Eriama_EarlyModern (4),—,—,Late Holocene (post-4.2ka) (34)
224,34,East Asia,East Asia (34),4559,4559,4559,40.16,114.49,China_LN_Xiaoheyan (34),N1 (11); N (4); C2 (2),—,Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (34)
155,34,East Asia,East Asia (34),6950,6927,6950,32.69,112.13,China_Baligang_LN_Yangshao (32); China_Henan_Xiaowusite_MN (1); China_Baligang_LN_Shijiahe (1),O2 (5),D4 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (34)
153,33,East Asia,East Asia (33),3981,3700,4300,33.99,113.31,Henan_Wadian (7); Henan_Wangchenggang (7); China_Baligang_LN_Longshan (6),n/ (12); O2 (9); K (1),D4 (5); F2 (1); D5 (1),Late Holocene (post-4.2ka) (22); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (11)
75,33,East Asia,East Asia (33),3173,2880,3389,49.66,99.77,Mongolia_Khovsgol_LBA-6 (20); Mongolia_CenterWest_LBA-4 (7); Mongolia_MLBA (2),Q1 (16); n/ (12); N (2),C4 (7); D4 (5); A+ (3),Late Holocene (post-4.2ka) (33)
94,33,Europe,Europe (33),8264,7977,8540,61.94,35.26,Russia_Karelia_Mesolithic (15); Russia_Vologda_Mesolithic (12); Russia_Karelia_Mesolithic_HG (5),n/ (13); R1 (11); Q1 (3),U5 (11); U4 (9); U2 (4),Early Holocene (rapid warming) (19); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (14)
59,31,East Asia,East Asia (30); Siberia / North Asia (1),7701,7377,7944,52.05,104.25,Russia_Buryatia_N (8); Russia_Irkutsk_EN (7); Mongolia_N (6),n/ (9); N1 (7); Q1 (7),C4 (10); D4 (7); F1 (5),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (31)
28,31,Europe,Europe (31),3123,2907,3404,39.68,9.43,Italy_Sardinia_BA_Nuragic_Nuragic (10); Italy_Sardinia_LBA (7); Italy_Sicily_LBA (4),n/ (12); G2 (6); R1 (5),T2 (5); J1 (4); K1 (4),Late Holocene (post-4.2ka) (31)
105,31,Europe,Europe (31),3200,3123,3510,53.74,13.31,Germany_Tollensebattlefield_BA (17); Denmark_EBA (4); Sweden_BA (3),R1 (9); I2 (6); I1 (5),T2 (4); J1 (3); U2 (2),Late Holocene (post-4.2ka) (31)
168,31,South Asia,South Asia (31),2150,2150,2345,32.39,80.03,China_Tibet_Sangdalongguo_IA (17); China_Tibet_Qulongsazha_IA (7); China_Tibet_Piyangjiweng (6),n/ (12); N1 (8); O2 (4),n/ (6); M9 (4); M6 (3),Late Holocene (post-4.2ka) (31)
222,31,East Asia,East Asia (31),2300,2180,2580,27.27,100.25,China_IA_Hellenistic (17); China_IA (13); China_Yunnan_Jicha_BA (1),O2 (8); D1 (4); C2 (2),—,Late Holocene (post-4.2ka) (31)
211,30,East Asia,East Asia (30),5300,5300,5535,36.36,120.44,China_Qingdao_BeiQian_Dawenkou (28); China_BeiQian_Longshan (1); China_Dongying_FuJia_Dawenkou (1),n/ (28),—,Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (30)
88,30,Near East / SW Asia,Near East / SW Asia (30),5050,4850,5174,37.19,61.03,Turkmenistan_C (28); Turkmenistan_C-1 (1); Turkmenistan_C-o (1),n/ (18); J1 (6); J2 (4),I1 (5); J1 (5); HV (4),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (30)
77,30,Central Asia / Steppe,Central Asia / Steppe (25); Siberia / North Asia (5),3909,3777,4108,55.03,73.57,Russia_Rostovka_EMBA_Irtysh_SeimaTurbino (9); Russia_Omsk_EBA_Okunevsky (5); Russia_Omsk_EMBA_Irtysh_SeimaTurbino-2 (4),n/ (17); R1 (4); Q1 (3),R1 (5); U2 (3); C4 (3),Late Holocene (post-4.2ka) (30)
82,29,Americas,Americas (29),125,125,138,39.58,-77.43,USA_Maryland_Historic_AfricanAmerican (26); USA_Maryland_Historic_AfricanAmerican-oHighEuropean (2); USA_Maryland_Historic_African_European (1),n/ (13); E1 (11); R1 (3),L3 (13); L2 (12); n/ (1),Late Holocene (post-4.2ka) (29)
121,29,Near East / SW Asia,Near East / SW Asia (28); Europe (1),2600,2375,2800,33.05,35.1,Israel_Phoenician (16); Lebanon_IA3 (8); Lebanon_IA2 (2),n/ (15); J1 (6); E1 (4),R0 (2); T2 (2); n/ (2),Late Holocene (post-4.2ka) (29)
175,29,Other,Other (29),2000,1800,2051,38.1,67.28,Uzbekistan_Antiquity (23); Tajikistan_Khatlon_KushanPeriod (5); Uzbekistan_KushanPeriod (1),n/ (12); R1 (4); P1 (1),U2 (4); H1 (4); U7 (3),Late Holocene (post-4.2ka) (29)
220,28,East Asia,East Asia (28),3300,3300,3594,25.84,100.59,China_MLBA (18); China_LBA (5); China_LBA_EIA (4),O2 (6); O (2); N1 (2),—,Late Holocene (post-4.2ka) (28)
85,28,Europe,Europe (28),1350,1150,1575,40.42,29.71,Turkey_Medieval_Byzantine (21); Turkey_LateAntiquity_ImperialRoman-2 (1); Turkey_EarlyMedieval_Byzantine-2 (1),n/ (14); E1 (5); J2 (3),T2 (6); H1 (3); H8 (3),Late Holocene (post-4.2ka) (28)
207,27,East Asia,East Asia (27),2875,2735,3095,25.71,101.91,China_BA_Roman (11); China_LBA_EIA (9); China_EIA (5),O1 (6); O2 (5); n/ (2),—,Late Holocene (post-4.2ka) (27)
95,27,Central Asia / Steppe,Central Asia / Steppe (27),2250,2200,2436,51.98,54.45,Kazakhstan_IA_Sarmatian (6); Russia_Bashkortostan_EIA2_PyanyBor (5); Russia_EarlySarmatian (4),n/ (11); R1 (9); N1 (5),U5 (6); G2 (2); T1 (2),Late Holocene (post-4.2ka) (27)
186,27,SE Asia / Oceania,SE Asia / Oceania (27),2623,2420,2742,13.52,144.81,Guam_LateUnai (22); Guam_PreLattePeriod_LateUnai (3); Guam_LateUnai-o (1),n/ (17); O2 (5); F (1),E2 (11); n/ (9); B4 (2),Late Holocene (post-4.2ka) (27)
212,26,East Asia,East Asia (26),2500,2500,2500,36.84,117.88,China_Jinan_LiuJiaZhuang_Shang (12); China_Zibo_TongLin_Jin (7); China_Weifang_XinZhi_Zhou (3),n/ (25),—,Late Holocene (post-4.2ka) (26)
188,25,Europe,Europe (25),3100,3100,3100,44.85,15.42,Croatia_MLBA (25),n/ (16); R1 (7),U5 (5); T2 (5); H1 (3),Late Holocene (post-4.2ka) (25)
192,25,Europe,Europe (25),475,377,660,37.34,28.04,Turkey_OttomanPeriod_ArabGraves (13); Turkey_Medieval_Byzantine (7); Turkey_OttomanPeriod (2),n/ (11); J2 (4); R1 (3),K1 (3); J2 (2); H1 (2),Late Holocene (post-4.2ka) (25)
11,25,Central Asia / Steppe,Central Asia / Steppe (25),5856,5800,5928,53.15,83.82,Russia_AltaiKrai_Eneolithic (17); Russia_AltaiKrai_N (7); Russia_AltaiKrai_N-oEastAsia (1),C2 (13); n/ (7); Q1 (3),U2 (6); Z1 (5); R1 (5),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (25)
73,24,Europe,Europe (24),4562,4342,4711,37.54,37.17,Turkey_EBA (10); Turkey_BA (5); Turkey_EBA-1 (4),n/ (10); J2 (4); T1 (3),U3 (4); K1 (4); R1 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (24)
44,24,Europe,Europe (24),8704,8455,8927,44.53,22.05,Serbia_IronGates_Mesolithic (17); Romania_IronGates_Mesolithic (6); Romania_Mesolithic (1),n/ (10); R1 (8); I2 (4),U5 (16); K1 (4); U4 (2),Early Holocene (rapid warming) (24)
149,24,Americas,Americas (24),1316,1104,1455,23.04,-81.5,Cuba_PreCeramic (23); Cuba_PreCeramic-2 (1),n/ (9); Q1 (6); A1 (1),D1 (8); C1 (4); C (3),Late Holocene (post-4.2ka) (24)
197,24,Europe,Europe (24),3425,3311,3711,59.33,-3.01,Scotland_MBA (22); Scotland_EBA_C (2),n/ (13); I2 (9); R1 (1),T2 (7); H3 (4); K1 (3),Late Holocene (post-4.2ka) (24)
21,23,South Asia,South Asia (23),1109,1007,1228,30.25,79.74,India_Roopkund-A (23),n/ (10); H1 (3); J2 (3),M3 (10); U2 (1); M5 (1),Late Holocene (post-4.2ka) (23)
58,22,Central Asia / Steppe,Central Asia / Steppe (22),7444,7125,7575,53.34,83.93,Russia_AltaiKrai_N (13); Russia_AltaiKrai_LN (4); Russia_AltaiKrai_N_Bolshemys (3),Q1 (17); C2 (4); P1 (1),U2 (6); U5 (4); C5 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (22)
61,22,Near East / SW Asia,Near East / SW Asia (22),4773,4500,5115,30.65,61.4,Iran_ShahriSokhta_BA1-1 (11); Iran_ShahriSokhta_BA2-2 (10); Iran_ShahriSokhta_BA3-3 (1),n/ (9); J2 (7); L1 (1),U1 (3); n/ (3); M3 (2),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (22)
104,21,Europe,Europe (21),400,246,531,42.12,20.52,Albania_Barc_PostMedieval (5); Albania_Bardhoc_PostMedieval (4); Serbia_OttomanPeriod_Ottoman (3),n/ (8); R1 (5); J2 (4),J1 (5); U5 (2); X2 (2),Late Holocene (post-4.2ka) (21)
161,21,Europe,Europe (21),854,750,1038,39.84,-0.38,Spain_Medieval_Islamic (11); Spain_Medieval (7); Spain_Medieval_Islamic_Zira (3),n/ (9); E1 (5); J2 (2),H1 (7); H3 (3); U4 (2),Late Holocene (post-4.2ka) (21)
214,21,South Asia,South Asia (21),2550,2525,2550,31.59,80.1,China_Tibet_Gebusailu_IA (21),D1 (11); n/ (6); N1 (1),Z3 (5); G2 (3); A+ (3),Late Holocene (post-4.2ka) (21)
12,20,Europe,Europe (20),6361,6209,6574,54.88,11.87,Denmark_LateMesolithic_Ertebolle (7); Czechia_N (4); Czechia_MN (3),I2 (7); n/ (6); G2 (3),U5 (6); R1 (2); V1 (1),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (20)
52,20,Europe,Europe (20),5653,5387,5867,40.01,-0.49,Spain_MLN (15); Spain_C (2); Spain_MLN-o (1),n/ (11); I2 (4); G2 (2),U5 (5); K1 (3); X2 (3),Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (20)
66,20,Near East / SW Asia,Near East / SW Asia (20),9909,9800,10162,34.45,48.12,Iran_GanjDareh_N (17); Iran_TepeAbdulHosein_N (3),n/ (10); R2 (8); R (1),R2 (8); U7 (4); X1 (2),Early Holocene (rapid warming) (20)
158,20,Americas,Americas (20),1473,1336,1588,34.0,-119.73,USA_1500BP (12); USA_1600BP (3); USA_California_1400BP (2),n/ (12); Q1 (8),D1 (12); A2 (4); C1 (3),Late Holocene (post-4.2ka) (20)
203,20,Africa,Africa (20),60,60,60,-15.92,-5.71,SaintHelena (20),E1 (16); n/ (3); B2 (1),L3 (8); L2 (7); L1 (3),Late Holocene (post-4.2ka) (20)
32,20,Europe,Europe (20),1300,1153,1392,42.0,2.56,Spain_LateAntiquity (9); Spain_EarlyMedieval (5); Spain_Carolingian (5),n/ (9); R1 (6); BT (1),U5 (5); H4 (2); J1 (2),Late Holocene (post-4.2ka) (20)
209,20,East Asia,East Asia (20),4300,4300,4408,36.79,117.82,China_Shandong_Dinggong_LN (10); China_Jining_YinJiaCheng_Longshan (5); China_Shandong_Chengziya_Longshan (3),n/ (16); N1 (2); C2 (1),—,Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (20)
167,20,South Asia,South Asia (20),900,713,1085,29.7,89.1,China_Tibet_Longsangquduo (14); China_Tibet_Latuotanggu (4); China_Tibet_Lajue (1),n/ (8); O2 (5); D1 (3),n/ (8); M9 (5); D4 (3),Late Holocene (post-4.2ka) (20)
92,19,Americas,Americas (19),2375,2073,2541,-28.59,-48.96,Brazil_SouthSantaCatarina_LateHolocene_2400BP_HG (6); Brazil_SouthSantaCatarina_LateHolocene_HG (3); Brazil_SouthSantaCatarina_LateHolocene_2200BP (3),Q1 (8); n/ (6); Q (2),C1 (13); D1 (1),Late Holocene (post-4.2ka) (19)
96,19,Americas,Americas (19),1010,750,1227,-16.55,-68.67,Bolivia_MHorizon (4); Bolivia_Akapana_1000BP_Tiwanaku (4); Bolivia_MirafloresTiticacaBasin_MHorizon_1100BP (3),n/ (10); Q1 (6); Q (1),B2 (9); C1 (5); D1 (1),Late Holocene (post-4.2ka) (19)
42,19,Europe,Europe (14); North Africa (5),4073,3731,4212,37.91,13.48,Italy_Sicily_EBA (14); Italy_Sicily_BellBeaker (2); Italy_Sicily_EBA-2 (1),R1 (8); n/ (8); J2 (1),K1 (3); T2 (3); U8 (2),Late Holocene (post-4.2ka) (18); Mid-Holocene (Holocene Climatic Optimum / 8.2ka aftermath) (1)
124,19,East Asia,East Asia (19),1075,1075,1324,47.11,102.08,Mongolia_Arkhangai_EarlyMedieval (9); Mongolia_Arkhangai_EarlyMedieval-o (4); Mongolia_Bulgan_EarlyMedieval_LateMedieval (2),n/ (8); R1 (5); C2 (3),D4 (5); T1 (2); U7 (1),Late Holocene (post-4.2ka) (19)
127,19,Central Asia / Steppe,Central Asia / Steppe (19),1650,1615,1716,49.34,86.35,Kazakhstan_Berel_Hunnic (11); Kazakhstan_IA (4); Kazakhstan_IA-3 (2),n/ (15); Q1 (3); R1 (1),A (2); U1 (1); C4 (1),Late Holocene (post-4.2ka) (19)
60,18,Central Asia / Steppe,Central Asia / Steppe (18),2150,2000,2307,55.5,73.34,Russia_EIA_IA_Sargatka (11); Russia_Omsk_EIA_Irtysh_Sargatka (2); Russia_Omsk_IA_Irmenskaya-o (1),n/ (5); N1 (5); NO (2),U4 (4); D4 (2); H2 (2),Late Holocene (post-4.2ka) (18)
